Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALAB,ALNY,AMAT,AMD,AMGN,AMZN,APP,ARM,ASML,AVGO,AXON,BKNG,BKR,CCEP,CDNS,CEG,CMCSA,COST,CPRT,CRWD,CRWV,CSCO,CSX,CTAS,DASH,DDOG,DXCM,EA,EXC,FANG,FAST,FER,FTNT,GEHC,GILD,GOOG,GOOGL,HON,HONA,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LITE,LRCX,MAR,MCHP,MDLZ,MELI,META,MNST,MPWR,MRVL,MSFT,MSTR,MU,NBIS,NFLX,NVDA,NXPI,ODFL,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,RKLB,ROP,ROST,SBUX,SHOP,SNDK,SNPS,SPCX,STX,TER,TMUS,TRI,TSLA,TTWO,TXN,VRTX,WBD,WDAY,WDC,WMT,XEL
2021-07-12,140.85165405273438,146.69000244140625,600.2000122070312,154.3645782470703,182.57203674316406,291.92999267578125,71.29875183105469,,177.02999877929688,131.15716552734375,90.80999755859375,208.76983642578125,185.92750549316406,67.19999694824219,,676.1815185546875,44.22184753417969,179.9199981689453,86.54326629638672,20.42412567138672,52.645423889160156,137.72999572753906,,46.39113235473633,386.4268493652344,34.787498474121094,65.44750213623047,,46.285240173339844,29.65926742553711,93.56393432617188,177.17999267578125,107.76000213623047,111.44249725341797,137.72998046875,27.329782485961914,72.66886138916016,23.95318603515625,27.123483657836914,51.15800094604492,,56.7152099609375,129.4229278564453,125.8594741821289,200.50245666503906,,659.5399780273438,51.914451599121094,489.1480712890625,319.6833190917969,30.685094833374023,31.622634887695312,29.849775314331055,274.21856689453125,82.51000213623047,59.36996078491211,136.1906280517578,65.73278045654297,55.136451721191406,1526.0,350.085693359375,45.584999084472656,373.1244201660156,56.289127349853516,266.14312744140625,58.86899948120117,77.5819091796875,,53.73099899291992,20.465621948242188,186.80824279785156,125.80616760253906,39.433998107910156,64.75499725341797,96.05431365966797,48.933895111083984,110.5199966430664,128.95872497558594,22.950000762939453,301.35882568359375,128.3647003173828,569.3276977539062,11.600000381469727,467.2424621582031,117.43881225585938,105.41691589355469,149.4739990234375,,278.55999755859375,,76.65380096435547,124.62618255615234,140.47958374023438,92.03172302246094,228.56666564941406,172.10000610351562,166.49713134765625,198.33999633789062,29.649999618530273,236.38999938964844,53.352474212646484,43.79689407348633,57.83774948120117
2021-07-13,141.96287536621094,143.41000366210938,605.010009765625,154.0974578857422,182.71543884277344,296.4200134277344,71.1568603515625,,175.6300048828125,130.6681671142578,90.26000213623047,209.1627960205078,183.8679962158203,68.9800033569336,,674.8536987304688,44.063438415527344,182.3000030517578,85.93228149414062,19.847414016723633,52.858524322509766,137.72000122070312,,46.04076385498047,385.6500549316406,34.57500076293945,65.29000091552734,,46.36349868774414,29.621891021728516,90.91739654541016,176.49000549316406,106.58999633789062,111.59750366210938,139.54180908203125,27.03403091430664,72.83873748779297,23.571847915649414,27.123483657836914,51.40800094604492,,56.66522216796875,129.84967041015625,126.2222671508789,199.66485595703125,,662.5800170898438,52.04255294799805,490.6878356933594,318.75,30.72018814086914,31.12196159362793,29.620685577392578,271.5937194824219,82.29000091552734,59.298763275146484,132.89559936523438,64.71658325195312,55.241554260253906,1548.2099609375,349.02496337890625,46.0099983215332,373.6065368652344,55.73928451538086,269.6556091308594,57.987998962402344,76.49950408935547,,54.06800079345703,20.203718185424805,186.4335479736328,125.78663635253906,39.29999923706055,64.66666412353516,96.01991271972656,48.540470123291016,112.06999969482422,131.9345245361328,22.450000762939453,299.5882568359375,127.2024154663086,572.283203125,10.970000267028809,466.641845703125,116.0855712890625,106.38690185546875,151.64700317382812,,278.0899963378906,,76.24028015136719,124.34180450439453,141.3115692138672,91.85910034179688,222.84666442871094,173.5500030517578,165.8725128173828,198.3300018310547,29.100000381469727,232.99000549316406,52.74285888671875,43.96263885498047,57.6161003112793
2021-07-14,145.38426208496094,139.08999633789062,608.8300170898438,153.08401489257812,183.24407958984375,297.1000061035156,71.94156646728516,,170.33999633789062,130.05458068847656,89.05000305175781,209.05174255371094,184.08399963378906,65.16000366210938,,684.4927368164062,43.84312057495117,177.30999755859375,85.46814727783203,19.22635269165039,53.1057243347168,138.8300018310547,,46.000946044921875,388.3880310058594,34.88249969482422,63.557498931884766,,47.03303909301758,29.565824508666992,90.43294525146484,169.3300018310547,104.66999816894531,110.12249755859375,139.41517639160156,27.245285034179688,68.42182159423828,23.60288429260254,27.123483657836914,51.167999267578125,,56.59856414794922,130.9281463623047,127.10989379882812,202.9528045654297,,659.8499755859375,51.722267150878906,489.5935363769531,318.3599853515625,31.14124298095703,30.986852645874023,29.38399887084961,272.87799072265625,82.62999725341797,58.65420913696289,134.1348419189453,64.54122161865234,55.62693786621094,1507.010009765625,344.6038818359375,46.5,369.190185546875,54.993080139160156,271.1239013671875,56.042999267578125,76.53850555419922,,54.79499816894531,19.7961483001709,186.02230834960938,126.36287689208984,39.669334411621094,64.38333129882812,96.62200927734375,48.62358474731445,108.94000244140625,133.29733276367188,21.559999465942383,299.1506042480469,129.51792907714844,576.300048828125,10.619999885559082,471.24310302734375,118.18640899658203,106.60939025878906,146.3000030517578,,279.0799865722656,,77.20513916015625,123.83184051513672,142.39218139648438,92.03172302246094,217.7933349609375,171.8800048828125,165.9419403076172,197.88999938964844,28.739999771118164,232.02999877929688,52.6901741027832,44.26597595214844,58.05089569091797
2021-07-15,144.7311553955078,137.5,606.1699829101562,150.7807159423828,185.51112365722656,294.7900085449219,72.77635192871094,,171.9499969482422,127.7056655883789,86.93000030517578,210.7006072998047,181.55999755859375,63.43000030517578,,672.4844360351562,43.456214904785156,173.61000061035156,85.18424987792969,18.827102661132812,52.42379379272461,137.5500030517578,,46.1442756652832,390.1596984863281,34.872501373291016,62.32500076293945,,46.65044021606445,29.72467803955078,88.09425354003906,167.3300018310547,103.4800033569336,110.3550033569336,138.9671173095703,27.601388931274414,66.12435913085938,23.73590660095215,27.123483657836914,51.2599983215332,,56.90683364868164,130.11924743652344,125.88871002197266,207.44371032714844,,657.4199829101562,51.072540283203125,487.27899169921875,317.88665771484375,31.588626861572266,31.336536407470703,28.87353515625,273.7779846191406,81.33000183105469,57.97642517089844,134.03875732421875,61.802913665771484,56.1612434387207,1508.47998046875,341.4613952636719,46.810001373291016,365.9502258300781,54.68871307373047,269.7035217285156,54.104000091552734,75.0075454711914,,54.29499816894531,18.922901153564453,177.6693572998047,126.38729095458984,39.830665588378906,64.63999938964844,96.91446685791016,48.950504302978516,110.73999786376953,133.90969848632812,21.469999313354492,294.93316650390625,127.45464324951172,584.492431640625,10.399999618530273,471.3691101074219,117.0602798461914,105.8707504272461,144.14999389648438,,277.67999267578125,,74.21581268310547,120.75244140625,141.85667419433594,91.76827239990234,216.86666870117188,168.24000549316406,163.32196044921875,200.08999633789062,28.459999084472656,228.6999969482422,50.35708999633789,44.30037307739258,58.5880126953125
2021-07-16,142.6939239501953,134.30999755859375,606.0999755859375,147.81411743164062,184.22976684570312,293.3299865722656,73.0351333618164,,177.5399932861328,122.89270782470703,85.88999938964844,211.83680725097656,178.68150329589844,60.75,,656.7027587890625,42.61228942871094,173.75999450683594,84.2155532836914,18.27701759338379,51.73332977294922,137.6699981689453,,45.825767517089844,388.7858581542969,35.03499984741211,62.4900016784668,,46.69392013549805,29.444345474243164,92.16786193847656,167.36000061035156,104.63999938964844,112.17250061035156,139.39572143554688,27.758319854736328,63.39011001586914,23.76251220703125,27.123483657836914,51.6879997253418,,57.18177795410156,130.69322204589844,125.8540267944336,205.23387145996094,,667.760009765625,50.303836822509766,485.6715087890625,316.7033386230469,31.474599838256836,31.23321533203125,27.872591018676758,271.92193603515625,80.2699966430664,55.863319396972656,129.735107421875,60.143760681152344,56.283843994140625,1512.510009765625,338.190185546875,46.53499984741211,365.9020080566406,52.9901237487793,269.4349365234375,52.308998107910156,73.1450424194336,,53.03099822998047,18.119495391845703,173.73963928222656,124.00908660888672,40.086666107177734,64.71666717529297,96.20915985107422,48.54600524902344,107.44999694824219,134.40139770507812,21.3700008392334,293.06317138671875,125.87791442871094,578.4622802734375,10.800000190734863,470.7684631347656,113.07625579833984,105.65719604492188,144.26300048828125,,276.55999755859375,,72.75991821289062,117.57501983642578,142.87991333007812,93.01289367675781,214.74000549316406,170.52000427246094,161.46543884277344,202.27999877929688,28.18000030517578,227.52999877929688,48.3175163269043,44.26911544799805,58.93755340576172
2021-07-19,138.8533935546875,131.8800048828125,602.0499877929688,146.46902465820312,180.71722412109375,287.30999755859375,71.59930419921875,,175.30999755859375,123.3145751953125,86.58000183105469,210.78599548339844,177.47950744628906,60.5099983215332,,653.4354858398438,42.39379119873047,175.6999969482422,81.18535614013672,17.434141159057617,49.04821014404297,137.72000122070312,,45.093196868896484,392.3671569824219,34.93000030517578,62.599998474121094,,46.13741683959961,28.799579620361328,90.3446273803711,175.5,104.83000183105469,108.76249694824219,137.58384704589844,27.353919982910156,59.2077751159668,23.72260856628418,27.123483657836914,51.32600021362305,,56.848514556884766,128.1243438720703,123.48304748535156,196.61749267578125,,669.4000244140625,50.001861572265625,483.027587890625,310.7300109863281,31.21142578125,31.26500701904297,27.978105545043945,266.8597106933594,80.63999938964844,56.15189743041992,125.70040130615234,59.34340286254883,56.073631286621094,1497.27001953125,334.01678466796875,46.125,367.1362609863281,53.805049896240234,265.8455810546875,49.87200164794922,72.72571563720703,,53.22800064086914,18.736831665039062,172.37794494628906,122.15826416015625,39.630001068115234,64.90666961669922,94.11035919189453,48.04730224609375,104.69000244140625,134.38412475585938,21.540000915527344,293.281982421875,125.04902648925781,580.4359130859375,10.710000038146973,466.641845703125,109.33828735351562,102.62265014648438,147.2010040283203,,274.4800109863281,,72.61349487304688,117.74174499511719,138.28965759277344,91.45027923583984,215.4066619873047,168.9600067138672,161.56954956054688,199.24000549316406,27.81999969482422,226.14999389648438,47.4068603515625,44.16590118408203,58.20435333251953
2021-07-20,142.45997619628906,136.08999633789062,608.719970703125,148.24713134765625,182.02545166015625,296.1199951171875,71.57424926757812,,183.1699981689453,126.52641296386719,87.11000061035156,210.92269897460938,178.6595001220703,60.849998474121094,,653.4832153320312,42.65963363647461,180.55999755859375,83.65443420410156,17.780162811279297,50.0540657043457,139.7899932861328,,45.45151138305664,394.3471984863281,35.86249923706055,63.060001373291016,,46.589576721191406,29.13597869873047,92.87902069091797,177.55999755859375,107.5199966430664,111.92500305175781,137.41824340820312,27.800567626953125,60.60727310180664,24.01082420349121,27.123483657836914,52.768001556396484,,57.623390197753906,129.9557342529297,125.10020446777344,204.63693237304688,,669.3900146484375,50.550926208496094,492.498779296875,318.3500061035156,31.483354568481445,31.31269073486328,28.780385971069336,272.2030944824219,81.20999908447266,57.62993621826172,129.71585083007812,61.61408996582031,56.41522979736328,1542.1500244140625,338.6857604980469,46.85499954223633,378.3410339355469,55.53309631347656,268.0625,50.178001403808594,73.51559448242188,,53.10499954223633,18.569461822509766,176.6641082763672,123.56956481933594,40.492000579833984,66.8316650390625,95.01351165771484,48.811981201171875,102.25,134.40139770507812,22.18000030517578,296.48486328125,125.7337875366211,582.4295043945312,10.600000381469727,476.173828125,112.22455596923828,104.49140930175781,152.47799682617188,,277.8900146484375,,73.64724731445312,121.389892578125,138.08883666992188,93.23096466064453,220.1666717529297,170.02000427246094,162.8968963623047,196.5500030517578,28.1299991607666,230.8300018310547,48.64866256713867,44.366050720214844,58.1105842590332
2021-07-21,141.7289276123047,139.25,612.260009765625,151.86788940429688,183.2172088623047,301.7799987792969,70.7227783203125,,180.08999633789062,132.30763244628906,89.41000366210938,209.17990112304688,179.25999450683594,59.83000183105469,,688.7820434570312,43.609153747558594,181.4499969482422,86.15179443359375,17.94873809814453,51.213356018066406,140.75999450683594,,46.03279113769531,393.1818542480469,36.099998474121094,63.38750076293945,,46.850433349609375,29.500411987304688,93.58540344238281,179.02000427246094,108.38999938964844,111.74500274658203,137.0773162841797,27.667787551879883,64.18285369873047,24.05073356628418,27.123483657836914,52.93000030517578,,56.99848175048828,131.44161987304688,126.42794036865234,206.58822631835938,,670.510009765625,51.45689010620117,498.2027893066406,314.9800109863281,31.14124298095703,31.288854598999023,30.121639251708984,275.79345703125,82.80000305175781,60.49296951293945,134.83612060546875,63.24626922607422,56.073631286621094,1550.1700439453125,343.21600341796875,46.67499923706055,390.81878662109375,57.270965576171875,270.05865478515625,55.694000244140625,75.27084350585938,,51.362998962402344,19.36563491821289,181.516845703125,124.23860931396484,40.292667388916016,65.30332946777344,95.81346130371094,48.84523391723633,104.5199966430664,133.90106201171875,22.520000457763672,300.1651611328125,128.0943603515625,578.9382934570312,10.75,478.3340759277344,115.12033081054688,106.1377182006836,156.93600463867188,,278.2200012207031,,71.1575927734375,125.97956085205078,138.2514190673828,94.16670227050781,218.42999267578125,170.89999389648438,168.50985717773438,196.27000427246094,28.790000915527344,237.36000061035156,48.50566864013672,44.14714050292969,57.17275619506836
2021-07-22,143.09356689453125,139.47000122070312,623.6799926757812,149.26979064941406,182.1598663330078,308.510009765625,70.85633850097656,,181.80999755859375,131.52149963378906,91.20999908447266,209.0858917236328,181.90150451660156,62.689998626708984,,697.303466796875,43.36426544189453,180.5500030517578,86.16669464111328,17.638206481933594,51.48613739013672,143.02000427246094,,46.016876220703125,395.5787658691406,36.380001068115234,65.76000213623047,,47.4243278503418,30.528303146362305,93.32527160644531,182.77999877929688,110.19999694824219,112.72250366210938,138.60665893554688,27.77039337158203,63.640869140625,23.904407501220703,27.123483657836914,54.150001525878906,,57.19845962524414,132.16326904296875,127.29277038574219,207.38128662109375,,683.030029296875,51.209800720214844,504.84613037109375,324.6300048828125,31.34300422668457,30.83584976196289,29.882097244262695,276.7496337890625,82.47000122070312,60.367652893066406,133.04933166503906,62.22109603881836,55.915985107421875,1591.219970703125,348.1328430175781,46.685001373291016,390.52947998046875,56.92731475830078,274.6076354980469,55.59400177001953,73.65210723876953,,51.176998138427734,19.549219131469727,177.57797241210938,124.6927490234375,40.60266876220703,66.3933334350586,95.4263916015625,48.28556823730469,104.95999908447266,133.85797119140625,22.06999969482422,302.0749816894531,128.33763122558594,582.0724487304688,10.960000038146973,476.21258544921875,114.69446563720703,109.12776947021484,159.40899658203125,,281.6000061035156,,71.62281036376953,124.27312469482422,138.4235382080078,94.18487548828125,216.4199981689453,171.27999877929688,159.54818725585938,196.02000427246094,28.479999542236328,237.9199981689453,47.4520149230957,44.178409576416016,57.326229095458984
2021-07-23,144.80914306640625,138.72999572753906,625.8699951171875,150.67941284179688,184.6598663330078,312.6499938964844,71.77459716796875,,182.41000366210938,132.7198944091797,92.1500015258789,211.6317901611328,182.83200073242188,63.349998474121094,,714.7094116210938,43.985145568847656,183.02999877929688,86.48712158203125,17.930994033813477,52.28740310668945,145.6699981689453,,46.47074890136719,401.1590270996094,36.65999984741211,67.23999786376953,,48.02430725097656,30.659130096435547,94.34426879882812,188.60000610351562,111.2300033569336,115.18000030517578,141.2367706298828,28.078210830688477,63.29301452636719,24.22809410095215,27.123483657836914,55.141998291015625,,57.50673294067383,136.6115264892578,131.84588623046875,204.3339080810547,,693.739990234375,48.501060485839844,511.7413024902344,325.4866638183594,31.641258239746094,31.16964340209961,30.49045753479004,280.1150817871094,82.97000122070312,60.7796516418457,133.70252990722656,62.59880828857422,56.835636138916016,1613.81005859375,366.5709228515625,48.14500045776367,399.4586181640625,57.85023880004883,277.9954528808594,53.97100067138672,74.05189514160156,,51.54100036621094,19.513301849365234,179.44229125976562,127.49581146240234,41.39466857910156,66.9366683959961,96.5531997680664,48.529380798339844,97.30999755859375,135.57443237304688,21.809999465942383,306.88922119140625,130.5360565185547,581.5467529296875,10.770000457763672,481.0851135253906,115.14871978759766,112.10002899169922,164.33200073242188,,285.07000732421875,,73.63865661621094,126.3129653930664,137.70632934570312,94.97527313232422,214.4600067138672,173.2899932861328,163.00279235839844,200.5,28.469999313354492,240.39999389648438,47.97883987426758,44.54117965698242,58.20435333251953
